County,Year,MME,State,Population
Palm beach,2013,49997836926913.15,Florida,.
Palm beach,2014,41555472249262.84,Florida,.
Pasco,2006,12738392808290.94,Florida,.
Pasco,2007,17084933766538.334,Florida,.
Pasco,2008,24002519557547.664,Florida,.
Pasco,2009,27438164943315.117,Florida,.
Pasco,2010,38391922851545.086,Florida,.
Pasco,2011,33014874235756.742,Florida,.
Pasco,2012,16164244987011.477,Florida,.
Pasco,2013,12111757416390.402,Florida,.
Pasco,2014,9353778742850.3,Florida,.
Pinellas,2006,64337982224570.12,Florida,.
Pinellas,2007,65664457016910.7,Florida,.
Pinellas,2008,94275778173937.77,Florida,.
Pinellas,2009,104011051886775.78,Florida,.
Pinellas,2010,152520108408726.28,Florida,.
Pinellas,2011,127552072658443.2,Florida,.
Pinellas,2012,66521287046949.17,Florida,.
Pinellas,2013,52672973527705.79,Florida,.
Pinellas,2014,42603298198687.85,Florida,.
Polk,2006,8786743756337.654,Florida,.
Polk,2007,8532863324558.612,Florida,.
Polk,2008,8231373950417.35,Florida,.
Polk,2009,9235363337688.17,Florida,.
Polk,2010,13785635898688.889,Florida,.
Polk,2011,14014652249323.564,Florida,.
Polk,2012,11662689408867.152,Florida,.
Polk,2013,10050876935307.637,Florida,.
Polk,2014,8450582112395.482,Florida,.
Putnam,2006,313751811556.0843,Florida,.
Putnam,2007,312345586622.6567,Florida,.
Putnam,2008,372631851794.3756,Florida,.
Putnam,2009,606571828151.2726,Florida,.
Putnam,2010,867536403052.8035,Florida,.
Putnam,2011,856128551003.9116,Florida,.
Putnam,2012,479415044142.7687,Florida,.
Putnam,2013,376896797707.9124,Florida,.
Putnam,2014,268511118675.32117,Florida,.
Saint johns,2006,600696752487.4729,Florida,.
Saint johns,2007,734290896614.8064,Florida,.
Saint johns,2008,838979533297.143,Florida,.
Saint johns,2009,1192196290972.89,Florida,.
Saint johns,2010,1964705523159.361,Florida,.
Saint johns,2011,1677246701746.5007,Florida,.
Saint johns,2012,1310888623542.8655,Florida,.
Saint johns,2013,1296555922427.4077,Florida,.
Saint johns,2014,1094375150947.2992,Florida,.
Saint lucie,2006,1694514471790.8943,Florida,.
Saint lucie,2007,2155607027586.6628,Florida,.
Saint lucie,2008,2700891273907.083,Florida,.
Saint lucie,2009,3302442001082.388,Florida,.
Saint lucie,2010,4252264920013.694,Florida,.
Saint lucie,2011,5728091346776.67,Florida,.
Saint lucie,2012,2980584305853.001,Florida,.
Saint lucie,2013,2030915122633.816,Florida,.
Saint lucie,2014,1905195381363.9785,Florida,.
Santa rosa,2006,480523327402.2909,Florida,.
Santa rosa,2007,667632496967.8593,Florida,.
Santa rosa,2008,789263845137.8474,Florida,.
Santa rosa,2009,923182716630.6372,Florida,.
Santa rosa,2010,1314606775854.654,Florida,.
Santa rosa,2011,1391579503009.6423,Florida,.
Santa rosa,2012,1188064324158.65,Florida,.
Santa rosa,2013,1182658484780.7517,Florida,.
Santa rosa,2014,1007352308952.2882,Florida,.
Sarasota,2006,6835653912597.597,Florida,.
Sarasota,2007,9256245270523.045,Florida,.
Sarasota,2008,12075163640212.146,Florida,.
Sarasota,2009,13432937418948.764,Florida,.
Sarasota,2010,15932674088342.256,Florida,.
Sarasota,2011,15041433833694.947,Florida,.
Sarasota,2012,9694777708187.246,Florida,.
Sarasota,2013,8046131352532.669,Florida,.
Sarasota,2014,6654748534868.332,Florida,.
Seminole,2006,4158628989159.15,Florida,.
Seminole,2007,6085742767878.612,Florida,.
Seminole,2008,8738001545461.946,Florida,.
Seminole,2009,11012056751693.404,Florida,.
Seminole,2010,16868338028091.355,Florida,.
Seminole,2011,17682015611418.53,Florida,.
Seminole,2012,5894332803363.745,Florida,.
Seminole,2013,4585918368081.947,Florida,.
Seminole,2014,3590628563476.145,Florida,.
Sumter,2006,60311740702.4275,Florida,.
Sumter,2007,99948091877.26,Florida,.
Sumter,2008,145293117477.52866,Florida,.
Sumter,2009,223699785176.5612,Florida,.
Sumter,2010,489194960192.16034,Florida,.
Sumter,2011,487303084457.987,Florida,.
Sumter,2012,404109361192.48645,Florida,.
Sumter,2013,385779419611.8921,Florida,.
Sumter,2014,361053741842.6528,Florida,.
Suwannee,2006,31364248467.1672,Florida,.
Suwannee,2007,42523287490.6947,Florida,.
Suwannee,2008,47070854933.61015,Florida,.
Suwannee,2009,45734321404.34478,Florida,.
Suwannee,2010,49300109609.93788,Florida,.
Suwannee,2011,52673966493.68163,Florida,.
Suwannee,2012,47057335137.81552,Florida,.
Suwannee,2013,53764085657.1364,Florida,.
Suwannee,2014,55671190907.58665,Florida,.
Taylor,2006,16719664404.195,Florida,.
Taylor,2007,23187325332.49688,Florida,.
Taylor,2008,27537128769.280003,Florida,.
Taylor,2009,39451807113.088135,Florida,.
Taylor,2010,31843305596.91196,Florida,.
Taylor,2011,34826089075.5753,Florida,.
Taylor,2012,31316646840.5625,Florida,.
Taylor,2013,30547691321.5775,Florida,.
Taylor,2014,26659381246.19,Florida,.
Union,2006,1834385051.328,Florida,.
Union,2007,2090639812.3122,Florida,.
Union,2008,3308246018.7244,Florida,.
Union,2009,3377461173.6092625,Florida,.
Union,2010,4435506838.9366,Florida,.
Union,2011,3388628986.1188498,Florida,.
Union,2012,3150317832.394287,Florida,.
Union,2013,3567982347.8100004,Florida,.
Union,2014,5123208925.768425,Florida,.
Unknown,2006,24518.7,Florida,.
Unknown,2007,14832.3,Florida,.
Volusia,2006,8010915130450.638,Florida,.
Volusia,2007,9915425536554.385,Florida,.
Volusia,2008,14339415267010.174,Florida,.
Volusia,2009,20024522943271.0,Florida,.
Volusia,2010,26166533263062.445,Florida,.
Volusia,2011,21014143673977.14,Florida,.
Volusia,2012,13494890515313.703,Florida,.
Volusia,2013,11600951481216.338,Florida,.
Volusia,2014,8835786991312.795,Florida,.
Wakulla,2006,11293310971.471,Florida,.
Wakulla,2007,17849219406.176003,Florida,.
Wakulla,2008,19688346955.308,Florida,.
Wakulla,2009,19516110790.120003,Florida,.
Wakulla,2010,22184106214.405987,Florida,.
Wakulla,2011,25798572533.90308,Florida,.
Wakulla,2012,25249996389.751926,Florida,.
Wakulla,2013,20978601876.135,Florida,.
Wakulla,2014,16908548083.352348,Florida,.
